연번,인허가관할기관,업소명,업종,업태,업소주소,영업상태
30977,인천광역시 서구,장식당,일반음식점,"외국음식전문점(인도,태국등)",인천광역시 서구 봉오재3로110번길 7(가정봄프라자 102호 가정동),정상
30978,인천광역시 서구,장어나라,일반음식점,기타,인천광역시 서구 건지로250번길 22(가좌동),정상
30979,인천광역시 서구,장어보감,일반음식점,한식,인천광역시 서구 대촌로25번길 4(오류동),정상
30980,인천광역시 서구,장어수월래,일반음식점,중국식,"인천광역시 서구 건지로 242(102,103,104호 가좌동)",정상
30981,인천광역시 서구,장어의힘풍천장어,일반음식점,식육(숯불구이),인천광역시 서구 가정로 249(씨동 1층 일부호 석남동),정상
30982,인천광역시 서구,장여사 칼솜씨,일반음식점,한식,"인천광역시 서구 이음대로 388(ABM타워 205,206호 원당동)",정상
30983,인천광역시 서구,장원식당,일반음식점,정종/대포집/소주방,인천광역시 서구 신석로112번길 23(석남동),정상
30984,인천광역시 서구,장인닭갈비,일반음식점,한식,"인천광역시 서구 청라루비로 76(청라 스퀘어7  230,231호 청라동)",정상
30985,인천광역시 서구,장춘 닭개장,일반음식점,식육(숯불구이),인천광역시 서구 원당대로 526(1층 왕길동),정상
30986,인천광역시 서구,장충동맛족발,일반음식점,한식,인천광역시 서구 검단로 842(중앙상가동 지하3호 불로동),정상
30987,인천광역시 서구,장태익참치,일반음식점,일식,"인천광역시 서구 청라라임로16번길 24(연희동, 1층전부)",정상
30988,인천광역시 서구,장터 삼겹살,일반음식점,한식,인천광역시 서구 장고개로 284(가좌동),정상
30989,인천광역시 서구,장터24시,일반음식점,한식,인천광역시 서구 경명대로694번길 1(공촌동),정상
30990,인천광역시 서구,장터국밥,일반음식점,한식,인천광역시 서구 원적로105번길 3(1층 일부호 가좌동),정상
30991,인천광역시 서구,장터머리고기,일반음식점,한식,인천광역시 서구 강남로 20-2(1층일부 석남동),정상
30992,인천광역시 서구,장터뼈해장국,일반음식점,기타,인천광역시 서구 염곡로 330-5(신현동),정상
30993,인천광역시 서구,장터삼겹살,일반음식점,한식,"인천광역시 서구 탁옥로 94(심곡동,호진피아빌딩 102호)",정상
30994,인천광역시 서구,장터삼겹살,일반음식점,기타,인천광역시 서구 율도로 108-1(석남동),정상
30995,인천광역시 서구,장터삼겹살,일반음식점,식육(숯불구이),인천광역시 서구 도요지로 226(1층 검암동),정상
30996,인천광역시 서구,장터삼겹살,일반음식점,식육(숯불구이),인천광역시 서구 봉오재3로94번길 19(에이스타워 102ㆍ103호 가정동),정상
